Time,Ticker,Mean,Std
65,XLP,0.6895895597183546,4.7370566399265535
70,XLP,0.7432407918296093,4.642273202699857
75,XLP,0.8007271866104213,4.60612615543372
80,XLP,0.8710631342984355,4.565805728119667
85,XLP,0.9569280311438592,4.685111089957882
90,XLP,1.0549025179836293,4.901298132593023
95,XLP,1.156085757545887,5.117079995588806
100,XLP,1.244656376610832,5.313787131587875
105,XLP,1.3393844348262365,5.503496616145638
110,XLP,1.449890003750771,5.748787173964387
115,XLP,1.5576066375751003,5.952696993973839
120,XLP,1.6706790066388395,6.124357463495547
5,XLB,0.204143288168292,2.9113033952570313
10,XLB,0.3909785456986658,4.0139935121466985
15,XLB,0.5477139598559815,4.8632892348326076
20,XLB,0.698588946586387,5.527941414021386
25,XLB,0.8229695628857591,6.099114514502146
30,XLB,0.9714789945607961,6.559945636893732
35,XLB,1.1260790385652943,6.8474469566338065
40,XLB,1.2627139272027599,7.104136904975594
45,XLB,1.3879749997838466,7.254126390843335
50,XLB,1.5245452304170497,7.438557670935597
55,XLB,1.7107637043641102,7.65764847392617
60,XLB,1.8691260147875088,7.919295877268769
65,XLB,2.015940574453194,8.175922281217993
70,XLB,2.155410735859413,8.530915882837117
75,XLB,2.2766721302310393,8.840711691789926
80,XLB,2.4103863287864216,9.057714345067568
85,XLB,2.5569654326379934,9.2810050847712
90,XLB,2.714414606680687,9.525851052892172
95,XLB,2.8588252750034355,9.689990981867487
100,XLB,2.970372228436748,9.805646913054948
105,XLB,3.044114414023983,9.963292027736196
110,XLB,3.151370094263491,10.215356054229945
115,XLB,3.279146324885948,10.535656544019657
120,XLB,3.4114161503519336,10.850864706506778
5,XOP,0.7377863858250194,5.7407896381064285
10,XOP,1.50740314174651,8.246742907492632
15,XOP,2.3125617610874283,10.140805486282296
20,XOP,3.2093336327083555,11.712728131102054
25,XOP,4.118184645409098,13.202630358977487
30,XOP,5.081059718930212,14.412848209898499
35,XOP,6.0349437397891,15.167093675475844
40,XOP,6.960913479961825,16.05297307767627
45,XOP,7.923610432415225,17.040542109706
50,XOP,8.875078222264545,17.733124041735216
55,XOP,9.876015095896319,18.162784133138214
60,XOP,10.88636277165658,18.5799198044645
65,XOP,11.882107112112426,19.530072565029414
70,XOP,12.848740842754772,20.70349364508352
75,XOP,13.789780843644479,21.82279450792389
80,XOP,14.695081811602794,22.804932560968062
85,XOP,15.541601628076947,23.68556592090482
90,XOP,16.395931452364287,24.34602665132867
95,XOP,17.23398650776814,24.808435243357017
100,XOP,18.008870050352357,25.24117382235898
105,XOP,18.725028106764647,25.822606334270485
110,XOP,19.47651785572377,26.483754004203206
115,XOP,20.215503550194075,26.945062466339824
120,XOP,20.959751502518163,27.369282289267183
5,IYR,0.05677796136583878,2.88591311677805
10,IYR,0.09784542415194657,4.0769970397192346
15,IYR,0.11229381824600013,4.942682527427347
20,IYR,0.12938924433783205,5.647190877477169
25,IYR,0.10832265813896831,6.228051339733559
30,IYR,0.10999274613953924,6.7194427075380805
35,IYR,0.11394804187599146,7.1049244056299745
40,IYR,0.09191448843685367,7.411429053345914
45,IYR,0.06310135683927756,7.569529145342576
50,IYR,0.06390122398741516,7.748323165727907
55,IYR,0.1276209571727855,7.999846020080801
60,IYR,0.1706466685066463,8.329075810782571
65,IYR,0.18772833420395635,8.594665915494224
70,IYR,0.1976779388084361,8.856498936241536
75,IYR,0.20179344404539415,9.121164632432025
80,IYR,0.2221450946852628,9.347475267796662
85,IYR,0.26365799353546954,9.600659813930827
90,IYR,0.3194838947910374,9.884212645822926
95,IYR,0.3793994511078696,10.131039035360264
100,IYR,0.4518498414167876,10.436218806948943
105,IYR,0.5238375195892581,10.793649206542677
110,IYR,0.5790526857738392,11.235323319869059
115,IYR,0.619711653587572,11.75923333821299
120,IYR,0.659167352888044,12.260359813733892
5,XHB,0.3323514520314742,3.644164963884193
10,XHB,0.6459837736083207,4.8772578539691755
15,XHB,0.9463584116703091,5.835067378461795
20,XHB,1.2451319760607324,6.73964051050465
25,XHB,1.4979468703340737,7.647095043300631
30,XHB,1.7584761997614524,8.421170743375042
35,XHB,2.0202387084380518,9.026688052062239
40,XHB,2.2847456720308355,9.681940920955089
45,XHB,2.5216805651019967,10.119331174400482
50,XHB,2.788141461057442,10.533629475641003
55,XHB,3.1237091855295493,11.029808250124177
60,XHB,3.457797643252592,11.609609241023636
65,XHB,3.796015155502252,12.06181963274035
70,XHB,4.105625229344191,12.552039151196551
75,XHB,4.414608039937487,13.040950068193272
80,XHB,4.764724122976887,13.475668722984224
85,XHB,5.1273395895348,13.924885619616324
90,XHB,5.481618892076142,14.411463594049406
95,XHB,5.833442168797298,14.874602163849834
100,XHB,6.1916149436038355,15.267926384956002
105,XHB,6.5039617071069555,15.72244246567588
110,XHB,6.800370781176129,16.16806097513009
115,XHB,7.0772907303673955,16.61501099212067
120,XHB,7.349489737846015,17.105322300174244
5,ITB,0.34611676433922095,3.96756559785682
10,ITB,0.6798793142507535,5.344047212541408
15,ITB,1.0025000387797673,6.396480615477547
20,ITB,1.3165887350510435,7.352130042903067
25,ITB,1.5679135801468742,8.247218729275465
30,ITB,1.8199686244737259,9.021593027938042
35,ITB,2.0655794175900777,9.646635815820867
40,ITB,2.321477136903349,10.328258395505989
45,ITB,2.5568439970949344,10.805788921073185
50,ITB,2.839439953467872,11.270191778469144
55,ITB,3.200302365509861,11.770220424719113
60,ITB,3.573427579528212,12.411147243330044
65,ITB,3.9502179527365717,12.919936175399847
70,ITB,4.298201557575508,13.414888091348073
75,ITB,4.65732111219368,13.891233088674504
80,ITB,5.0618717368023285,14.28985621716235
85,ITB,5.4819154074208605,14.710726692540144
90,ITB,5.893455799536915,15.186629585499466
95,ITB,6.3073148106910075,15.66117725978898
100,ITB,6.739864624567495,16.050676021370343
